Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
Blautia_A sp934424575	2	ZI	0.0150077702481132	0.564839273724266	0.114176831981977	NZ_CAKRXU010000001.1 MAG: uncultured Blautia sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_G_14_2608.20, whole genome shotgun sequence
Fusicatenibacter sp900772675	1	ZI	0.0176439691013557	0.468164716462433	0.0952496072428159	CAKRTO010000001.1 MAG: uncultured Fusicatenibacter sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_6_1150.86 genome assembly, contig: Hadza_MoBio_hadza-A-D_K_6_1150__NODE_128_length_160977_cov_5.194817, whole genome shotgun sequence
Faecalibacterium sp902463235	1	ZI	0.0216241821772563	0.509445699134967	0.104505649326777	CABQER010000001.1 MAG TPA_asm: uncultured Faecalibacterium sp. isolate MGYG-HGUT-00512 genome assembly, contig: GUT_GENOME014039_1, whole genome shotgun sequence
Streptococcus vaginalis	2	ZI	0.0267698020371552	-0.516675840991249	0.106923235121589	NZ_JAHZQR010000001.1 Streptococcus anginosus strain SK81 Sanginosus_SK81_DanaHsu_Sia_NO_1, whole genome shotgun sequence
Romboutsia timonensis	3	ZI	0.0269160053965024	0.482730058364182	0.0999211750447649	CAUGCZ010000001.1 MAG TPA_asm: uncultured Romboutsia sp. isolate SRR16280037_bin.57_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ19289604.506, whole genome shotgun sequence
Adlercreutzia equolifaciens	2	ZI	0.0317649908008976	0.456481789384225	0.0951464710843069	NZ_CATZOL010000001.1 MAG: Adlercreutzia equolifaciens isolate ERR9762695_bin.25_MetaWRAP_v1.3_MAG ERZ18534031.3, whole genome shotgun sequence
Lancefieldella sp916048235	1	ZI	0.0349670158671054	-0.567718619736992	0.118812238325547	CAJZGX010000001.1 MAG TPA_asm: uncultured Atopobium sp. isolate ERR2764909_bin.2_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674074.27, whole genome shotgun sequence
Lachnospira eligens	1	ZI	0.0349882906694628	0.458140443017294	0.0958825637522359	WGZX01000001.1 MAG: Lachnospira sp. isolate COPD206 SB1780_bin.1_contig_1, whole genome shotgun sequence
Brotaphodocola sp003481825	1	ZI	0.0361254387518461	0.583927015490082	0.122374396841408	NZ_QUEH01000001.1 Clostridium sp. AF32-12BH AF32-12BH.Scaf1, whole genome shotgun sequence
Dysosmobacter sp900550685	2	ZI	0.0377062538339003	0.568794793583798	0.119420421392687	CAUFYW010000001.1 MAG TPA_asm: uncultured Oscillibacter sp. isolate SRR16280076_bin.52_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ19289390.1587, whole genome shotgun sequence
Streptococcus vestibularis	2	Beta	0.0401040020182261	0.0680417088384066	0.0143069260583119	NZ_CAUHPC010000001.1 MAG: Streptococcus vestibularis isolate SRR16280094_bin.34_MetaWRAP_v1.3_MAG ERZ19289495.827, whole genome shotgun sequence
Butyribacter sp003529475	1	ZI	0.0425296484146189	0.497064753892978	0.104901021567273	CAUCGT010000001.1 MAG TPA_asm: uncultured Clostridium sp. isolate ERR4316493_bin.8_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18534190.660, whole genome shotgun sequence
Faecalibacterium sp902463905	1	ZI	0.0470714475862743	0.450614857863211	0.0955185743314564	CABQHF010000001.1 MAG TPA_asm: uncultured Faecalibacterium sp. isolate MGYG-HGUT-00589 genome assembly, contig: GUT_GENOME018115_1, whole genome shotgun sequence
Faecalibacterium prausnitzii_J	1	Beta	0.0474299646760341	-0.0575378401087387	0.0121859475111013	CATZTC010000001.1 MAG TPA_asm: uncultured Faecalibacterium sp. isolate ERR9578274_bin.15_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18533864.69, whole genome shotgun sequence
